Drift
RAM Structural System
17.03.00.285
DataBase: 21
Building Code: IBC
Steel Code: IBC
07/05/22 17:04:10
CRITERIA:
Rigid End Zones:       Ignore Effects
Member Force Output:   At Face of Joint
P-Delta:,Yes,Scale Factor (DL):,1.20,Scale Factor (LL):,1.60
,,Scale Factor (Roof):,0.50,Scale Factor (Snow):,1.00
Ground Level:,Base
Use Reduced Stiffness for Steel Members (AISC 360):,  t b =  1.00
LOAD CASE DEFINITIONS:
E5   ,EQ_DRIFT       ,EQ_ASCE716_X_+E_Drft
E6   ,EQ_DRIFT       ,EQ_ASCE716_X_-E_Drft
E7   ,EQ_DRIFT       ,EQ_ASCE716_Y_+E_Drft
E8   ,EQ_DRIFT       ,EQ_ASCE716_Y_-E_Drft
W13  ,WIND_DRIFT     ,Wind_ASCE716_1_X   
W14  ,WIND_DRIFT     ,Wind_ASCE716_1_Y   
W15  ,WIND_DRIFT     ,Wind_ASCE716_2_X+E 
W16  ,WIND_DRIFT     ,Wind_ASCE716_2_X-E 
W17  ,WIND_DRIFT     ,Wind_ASCE716_2_Y+E 
W18  ,WIND_DRIFT     ,Wind_ASCE716_2_Y-E 
W19  ,WIND_DRIFT     ,Wind_ASCE716_3_X+Y 
W20  ,WIND_DRIFT     ,Wind_ASCE716_3_X-Y 
W21  ,WIND_DRIFT     ,Wind_ASCE716_4_X+Y_CW
W22  ,WIND_DRIFT     ,Wind_ASCE716_4_X+Y_CCW
W23  ,WIND_DRIFT     ,Wind_ASCE716_4_X-Y_CW
W24  ,WIND_DRIFT     ,Wind_ASCE716_4_X-Y_CCW
RESULTS:
 Location  (ft): (180.000, -85.500)
 Story, LdC, Displacement, Story Drift, Drift Ratio
,, X, Y, X, Y, X, Y
,,       in,       in,       in,       in
, E7, -0.4427, -0.9355, -0.1266, -0.3021,  0.0008,  0.0018
, E8,  0.0447,  0.9277,  0.0153,  0.3622,  0.0001,  0.0022
,W13,  0.1879, -0.3064,  0.0606, -0.1250,  0.0004,  0.0007
,W14, -0.0946,  0.0094, -0.0248,  0.0174,  0.0001,  0.0001
,W15,  0.1762, -0.0964,  0.0550, -0.0478,  0.0003,  0.0003
,W16,  0.1056, -0.3633,  0.0358, -0.1397,  0.0002,  0.0008
,W17, -0.2268, -0.5815, -0.0606, -0.1887,  0.0004,  0.0011
,W18,  0.0849,  0.5955,  0.0235,  0.2148,  0.0001,  0.0013
,W19,  0.0699, -0.2228,  0.0269, -0.0806,  0.0002,  0.0005
,W20,  0.2119, -0.2368,  0.0640, -0.1068,  0.0004,  0.0006
,W21,  0.1958,  0.3744,  0.0589,  0.1253,  0.0004,  0.0007
,W22, -0.0909, -0.7086, -0.0186, -0.2463,  0.0001,  0.0015
,W23,  0.3022,  0.3638,  0.0867,  0.1057,  0.0005,  0.0006
,W24,  0.0156, -0.7191,  0.0093, -0.2659,  0.0001,  0.0016
Level 3        , E5,  0.6357, -0.1542,  0.3176, -0.2167,  0.0019,  0.0013
, E6,  0.3847, -1.0279,  0.2079, -0.7651,  0.0012,  0.0046
, E7, -0.3160, -0.6333, -0.1270, -0.4161,  0.0008,  0.0025
, E8,  0.0295,  0.5655,  0.0232,  0.3341,  0.0001,  0.0020
,W13,  0.1273, -0.1815,  0.0629, -0.1452,  0.0004,  0.0009
,W14, -0.0699, -0.0081, -0.0238, -0.0159,  0.0001,  0.0001
,W15,  0.1211, -0.0486,  0.0579, -0.0552,  0.0003,  0.0003
,W16,  0.0698, -0.2236,  0.0365, -0.1625,  0.0002,  0.0010
