,, X, Y, X, Y, X, Y
,,       in,       in,       in,       in
,E54,  0.4715, -4.3282,  0.0606, -0.4477,  0.0003,  0.0023
,E55, -0.4715,  4.3282, -0.0606,  0.4477,  0.0003,  0.0023
,E56, -1.1853, -4.5478, -0.1288, -0.4553,  0.0007,  0.0024
,E57,  2.6449, -0.8146,  0.3064, -0.1229,  0.0016,  0.0006
,E58,  2.6095, -1.4750,  0.3014, -0.1802,  0.0016,  0.0009
,E59, -2.6095,  1.4750, -0.3014,  0.1802,  0.0016,  0.0009
,E60, -2.6449,  0.8146, -0.3064,  0.1229,  0.0016,  0.0006
,E61,  0.8472,  0.7574,  0.0995,  0.0500,  0.0005,  0.0003
,E62,  0.7291, -1.4442,  0.0828, -0.1409,  0.0004,  0.0007
,E63, -0.7291,  1.4442, -0.0828,  0.1409,  0.0004,  0.0007
,E64, -0.8472, -0.7574, -0.0995, -0.0500,  0.0005,  0.0003
,E65,  2.7343,  0.1866,  0.3141, -0.0161,  0.0016,  0.0001
,E66,  2.5201, -2.4762,  0.2936, -0.2870,  0.0015,  0.0015
,E67, -2.5201,  2.4762, -0.2936,  0.2870,  0.0015,  0.0015
,E68, -2.7343, -0.1866, -0.3141,  0.0161,  0.0016,  0.0001
,E69,  1.1451,  4.0946,  0.1253,  0.4061,  0.0007,  0.0021
,E70,  0.4313, -4.7814,  0.0571, -0.4970,  0.0003,  0.0026
,E71, -0.4313,  4.7814, -0.0571,  0.4970,  0.0003,  0.0026
,E72, -1.1451, -4.0946, -0.1253, -0.4061,  0.0007,  0.0021
,W13,  1.7839, -0.3487,  0.2118, -0.0508,  0.0011,  0.0003
,W14,  0.2612,  3.4196,  0.0280,  0.3387,  0.0001,  0.0018
,W15,  1.3689,  0.0829,  0.1617,  0.0006,  0.0008,  0.0000
,W16,  1.3069, -0.6059,  0.1560, -0.0769,  0.0008,  0.0004
,W17,  0.0516,  0.9860,  0.0077,  0.0826,  0.0000,  0.0004
,W18,  0.3401,  4.1433,  0.0343,  0.4254,  0.0002,  0.0022
,W19,  1.5338,  2.3032,  0.1798,  0.2159,  0.0009,  0.0011
,W20,  1.1421, -2.8262,  0.1379, -0.2921,  0.0007,  0.0015
,W21,  1.2818,  3.1697,  0.1469,  0.3195,  0.0008,  0.0017
,W22,  1.0189,  0.2851,  0.1228,  0.0043,  0.0006,  0.0000
,W23,  0.9880, -0.6773,  0.1155, -0.0615,  0.0006,  0.0003
,W24,  0.7251, -3.5619,  0.0913, -0.3767,  0.0005,  0.0020
Level 9        ,E37,  2.4458,  0.3533,  0.3517,  0.0182,  0.0018,  0.0001
,E38,  2.3233, -0.9933,  0.3397, -0.1616,  0.0018,  0.0008
,E39,  0.0507,  1.0053,  0.0080,  0.1206,  0.0000,  0.0006
